symbol,total_return,annualized_return,volatility,sharpe_ratio,beta,alpha,correlation,max_drawdown_pct,vs_benchmark,days_analyzed
VNP.TO,538.2642134980176,88.63625659207803,45.211872876634885,1.8719918288502784,1.0591700942300228,67.81241905538444,0.3670821669950203,-43.70786018405269,468.427107085728,736
BTCQ.TO,450.6558597027118,79.33743764648725,48.63162749794047,1.5491448985473033,0.8627143609715417,61.63409922272925,0.2779702376271555,-28.56551018766899,380.8187532904221,736
ETHQ.TO,178.6130344950196,42.02494186679968,63.49738330526464,0.59884265913753,1.4194337136245712,15.47868388404805,0.350275177836715,-60.48015048624177,108.77592808272993,736
XEQT.TO,55.993616715030555,16.444263534987446,12.180664996326877,1.0216407346183527,0.7010790178345818,1.3083378128699557,0.9018743704378209,-15.079873830987767,-13.843489697259104,736
BMO.TO,47.578836660734105,14.254253229326054,18.13804728585187,0.5653449386100469,0.5979350119111586,0.7566649262809144,0.5165513835172856,-22.11971824316311,-22.25826975155556,736
TD.TO,43.369920779114835,13.127938767869463,17.02359015570753,0.5361935223052301,0.40681768494600967,2.6660544342101273,0.37445423238401804,-18.87683874247132,-26.46718563317483,736
BMO,42.44430112512818,12.604567052910953,20.19129436966155,0.4261523256200828,0.7381418584752268,-3.687264641199714,0.5729880044354345,-24.41844399713615,-32.53637594579391,751
FAP.TO,31.813127138349206,9.919008738429858,11.928996852255418,0.4961866292479363,0.1438656551023801,3.6338494219633573,0.18897453194949856,-9.85402064299157,-38.023979273940455,736
XEG.TO,24.60546683196203,7.822915567444766,25.02118652071279,0.15278714158020115,0.674367973738386,-6.88873244067954,0.4223175324346218,-27.696734098559816,-45.23163958032763,736
ADN.TO,24.41108655420483,7.76529576111562,16.725139866228314,0.2251279087189321,0.29336043633987663,-0.8944358037786051,0.27484121471034945,-21.777574340674775,-45.42601985808483,736
HDGE.TO,24.265758094795096,7.733080130252623,14.506443676385858,0.25733944263193004,0.12881784299912133,1.7035358226764066,0.13922963860029983,-12.51212799617881,-44.9177670655845,735
IGBT-UN.TO,14.183964743132993,7.403427468274715,28.250709984283844,0.12047228087959827,0.06327154942050982,2.3851028979505653,0.03700683585300592,-24.5051818223151,-26.319119216063825,468
SOLQ.TO,10.021575756190826,17.92120922063807,70.37208883875198,0.19782287907548993,2.0551274879080212,-65.70983317032835,0.3699131849540537,-46.44567157957059,-12.878341108105795,146
XRPQ.TO,-1.093231200798228,-2.6284093067000636,74.9524923958602,-0.08843480843428451,2.583642484335271,-51.024458138630976,0.35951934490406484,-40.94808059155183,-9.34550134656953,104
APR-UN.TO,-3.388788437780188,-1.1734678913558727,20.214398019242065,-0.2559298519021568,0.3388439836115946,-10.55565925195287,0.26265703710831145,-27.455242452962892,-73.22589485006985,736
AW.TO,-4.772949822706818,-4.5109502951012015,24.621048822210277,-0.34567781236937406,0.30471149437640394,-10.50596242984704,0.2384131524129628,-27.407562862086987,-15.98195189107583,267
HUC.TO,-6.471758856031995,-2.2647887117837384,23.597670091890137,-0.26548335862771355,0.3360118996814288,-11.601995305353274,0.22311851333072888,-25.198458856890333,-76.30886526832165,736
T.TO,-22.72003862058162,-8.446473218006167,17.002445238140275,-0.7320401885539354,0.090720440959059,-13.887474968590857,0.08360723143470282,-26.356831104089828,-92.55714503287128,736
ACQ.TO,-25.4655357469329,-9.573401915557234,50.94257220363904,-0.2664451622367751,0.8610654683616573,-27.2505493606091,0.26485329355541104,-56.34670244753121,-95.30264215922256,736
BCE.TO,-37.45578242667457,-14.84380315635313,18.800885271475504,-1.0022827587242789,-0.011138792764203412,-18.666874784941655,-0.009283460619962533,-47.20886501320057,-107.29288883896425,736
AAB.TO,-51.17186954303138,-21.76459264813029,193.71570260784492,-0.13300208656955254,0.4991785262566225,-33.693534820211404,0.0403776596654137,-72.22222118741932,-121.00897595532105,736
