symbol,total_return,annualized_return,volatility,sharpe_ratio,beta,alpha,correlation,max_drawdown_pct,vs_benchmark,days_analyzed
VNP.TO,211.5177190400636,223.342295133435,50.052170076691496,4.3822734318482475,0.9453887037819495,213.25049324815325,0.3728173172032201,-43.707860184052734,201.4217555412248,244
TD.TO,53.66910537166465,55.84904850013406,16.912306490493776,3.065758566359819,0.32863743481131796,49.73140721994007,0.3835506926877688,-9.137762445531065,43.573141872825836,244
BMO.TO,35.60775251506525,36.96882041412339,18.27408949891557,1.8041293064740571,0.5338136681491709,29.529084888395847,0.5765839139024879,-16.569479487898363,25.511789016226437,244
BMO,33.91705991612399,34.38910123344887,18.879685703600924,1.6096190217643696,0.5836098166053919,24.696743399503568,0.6074620629287066,-15.94007714929903,20.33773235326506,249
XEQT.TO,14.322404991889659,14.825223143769684,15.529190313915258,0.6970887035925829,0.7326297562778942,6.104376244866422,0.9312029032835216,-15.079873830987847,4.226441493050848,244
FAP.TO,12.197609120313736,12.621785680571907,11.452578068653358,0.7528248774108284,0.20751323849349443,7.284632473199588,0.3576441511610253,-7.407408338857759,2.1016456214749235,244
SOLQ.TO,10.021575756190826,17.92120922063807,70.37208883875198,0.19782287907548993,2.0551274879080212,-65.70983317032835,0.3699131849540537,-46.44567157957059,-12.878341108105795,146
XEG.TO,10.006981988385256,10.35151275753321,25.90629192912558,0.24517259262381796,0.7653723799031588,1.4196821907148078,0.5831444013907278,-24.271675370613597,-0.08898151045355629,244
ACQ.TO,9.977266507494932,10.320727017691734,46.858508592010956,0.13488963280340877,0.9942257802933131,-0.08576637339438309,0.41879852001114365,-46.0928621742954,-0.11869699134388068,244
ETHQ.TO,8.656813611770753,8.952991897924868,75.79133596618962,0.06535037065627643,1.7403959664879776,-6.261598870269433,0.4532492410484221,-60.480150486241754,-1.4391498870680586,244
IGBT-UN.TO,6.6785540184577386,6.904917255492959,37.36058956982158,0.0777535175151368,0.061905823696610476,2.5060146538474117,0.032705919643340124,-24.505181822315084,-3.417409480381073,244
AW.TO,3.9450566549595,4.077004935985129,23.606023461900204,0.003262088428803515,0.31716145703670595,-1.966688577789437,0.26519549958647526,-21.474956404296478,-6.150906843879311,244
BTCQ.TO,1.2254347578587232,1.2658661983250052,42.975939709494156,-0.06362010511362887,0.9064991382329042,-8.575342964850243,0.41634235429659694,-28.565510187669023,-8.870528740980088,244
HDGE.TO,-0.8520914390664491,-0.8835105629239837,14.450275507751446,-0.3379527650046784,0.14477150070562317,-5.759081263021905,0.19812722951414896,-12.397132740953953,-10.524374511561108,243
XRPQ.TO,-1.093231200798228,-2.6284093067000636,74.9524923958602,-0.08843480843428451,2.583642484335271,-51.024458138630976,0.35951934490406484,-40.94808059155183,-9.34550134656953,104
APR-UN.TO,-5.2097719357821815,-5.375909556612301,18.50669152727001,-0.5066226744416579,0.3594072566485824,-11.69182236039038,0.3833245506473841,-20.893092425806717,-15.305735434620992,244
T.TO,-5.6231507286365945,-5.802062962424603,18.71514586324794,-0.5237502840773208,-0.05774168467702427,-9.429992826439596,-0.06089825022037313,-15.88573127013605,-15.719114227475405,244
BCE.TO,-7.033421329528943,-7.2554529598255035,23.812219478960337,-0.4726755088819183,-0.13588356122163184,-10.37985995652719,-0.11263558611806714,-18.85085839895612,-17.129384828367755,244
HUC.TO,-11.878756173516003,-12.243360735519815,22.56332208728197,-0.7199011153005497,0.3686266507772121,-18.618680556019445,0.32247219023110407,-20.22627509787399,-21.974719672354816,244
ADN.TO,-12.37369394965092,-12.752364060870958,13.299068872730299,-1.259664433742548,0.268052705235184,-18.47961547457433,0.39783916917808865,-21.777574340674793,-22.469657448489734,244
AAB.TO,-37.49999767169351,-38.455736960209876,195.03805796114605,-0.21767924375389122,0.328231089172385,-44.570759870711676,0.03321765191114302,-58.333331781129004,-47.59596117053232,244
