symbol,total_return,annualized_return,volatility,sharpe_ratio,beta,alpha,correlation,max_drawdown_pct,vs_benchmark,days_analyzed
VNP.TO,211.5177190400636,223.342295133435,50.052170076691496,4.3822734318482475,0.945388738932798,213.25050440240153,0.3728174699731421,-43.707860184052734,201.4217671605307,244
TD.TO,53.669150865260626,55.8490961518534,16.91230325980476,3.065761969576459,0.32863737808877874,49.73145919335493,0.3835508426625863,-9.137753417593435,43.573198985727714,244
BMO.TO,35.607746743576605,36.96881439357909,18.274091723125824,1.8041287574285907,0.533813042603136,29.52908932481485,0.5765833828874553,-16.569483017904453,25.51179486404369,244
BMO,33.91705991612399,34.38910123344887,18.879685703600924,1.6096190217643696,0.5836093828062349,24.696754659712003,0.60746183699734,-15.94007714929903,20.337744235756404,249
XEQT.TO,14.322404490176964,14.825222623328372,15.529197053201276,0.6970883675596606,0.732629820300589,6.104384131403953,0.9312029274969545,-15.079873830987806,4.226452610644049,244
FAP.TO,12.197590159346895,12.621766023899571,11.452585089945789,0.7528226995203563,0.20751316239104153,7.2846158049873,0.35764393399223443,-7.4074083388577865,2.1016382798139777,244
SOLQ.TO,10.021575756190826,17.92120922063807,70.37208883875198,0.19782287907548993,2.0551266565785076,-65.70980777904239,0.36991308423715497,-46.44567157957059,-12.878342763580687,146
XEG.TO,10.00696997725159,10.35150031374088,25.906293450692235,0.24517209788539482,0.7653725409408202,1.419677922928328,0.5831447071106178,-24.27167537061368,-0.08898190228132652,244
ACQ.TO,9.977266507494932,10.320727017691734,46.858508592010956,0.13488963280340877,0.9942251879853142,-0.08575058808760194,0.4187984265528795,-46.0928621742954,-0.11868537203798546,244
ETHQ.TO,8.656813611770753,8.952991897924868,75.79133596618962,0.06535037065627643,1.7403943231734904,-6.261567330080872,0.453248981958035,-60.480150486241754,-1.4391382677621634,244
IGBT-UN.TO,6.6785540184577386,6.904917255492959,37.36058956982158,0.0777535175151368,0.06190695652890582,2.5060080994615515,0.03270653032440289,-24.505181822315084,-3.4173978610751776,244
AW.TO,3.9450453657880136,4.076993261876516,23.606028775391078,0.0032615931552527847,0.3171613919324189,-1.9666960143429244,0.26519548426556444,-21.474956404296456,-6.150906513744903,244
BTCQ.TO,1.2254347578587232,1.2658661983250052,42.975939709494156,-0.06362010511362887,0.906498709248963,-8.575329288021027,0.41634231239526687,-28.565510187669023,-8.870517121674194,244
HDGE.TO,-0.8521055834024183,-0.8835252264759896,14.450282195393802,-0.3379536233577965,0.14477138400526804,-5.7590934770922635,0.19812705194596825,-12.397145233996655,-10.524377081305547,243
XRPQ.TO,-1.093231200798228,-2.6284093067000636,74.9524923958602,-0.08843480843428451,2.583642484335271,-51.024458138630976,0.35951934490406484,-40.94808059155183,-9.34550134656953,104
APR-UN.TO,-5.209709883815295,-5.375845582477523,18.506680750712345,-0.5066195126382474,0.359408069909769,-11.691759300052057,0.38332578406443346,-20.893048118615173,-15.30566176334821,244
T.TO,-5.623141977931045,-5.802053941943452,18.715135538787944,-0.5237500910227588,-0.057741994724402675,-9.429982503213841,-0.0608986335028698,-15.885731270136095,-15.719093857463962,244
BCE.TO,-7.033405281616645,-7.255436425335882,23.812217353083543,-0.47267485671082915,-0.1358833336774809,-10.37984652405058,-0.11263544952643209,-18.850830258690685,-17.12935716114956,244
HUC.TO,-11.878756173516003,-12.243360735519815,22.56332208728197,-0.7199011153005497,0.3686272633089047,-18.6186800653929,0.32247284621999356,-20.22627509787399,-21.974708053048918,244
ADN.TO,-12.37374471564584,-12.752416264750188,13.299067457963973,-1.2596684931256759,0.26805238981963303,-18.47966241915005,0.3978388915970269,-21.77757434067475,-22.469696595178757,244
AAB.TO,-37.49999767169351,-38.455736960209876,195.03805796114605,-0.21767924375389122,0.32823125479480264,-44.5707569866295,0.03321768104904351,-58.333331781129004,-47.595949551226425,244
