symbol,total_return,annualized_return,volatility,sharpe_ratio,beta,alpha,correlation,max_drawdown_pct,vs_benchmark,days_analyzed
VNP.TO,203.90811070351614,213.71474210091472,50.03951026402046,4.190983105038587,0.9454921547158245,203.62821037472938,0.372187359715951,-43.707860184052755,193.77482778460978,245
TD.TO,54.16178545349375,56.080085861620944,16.878192955896356,3.085643468925202,0.3286329427048794,49.964537020664054,0.3835322503021883,-9.137754242544228,44.02850253458737,245
BMO.TO,35.67996550727075,36.86798958141635,18.23677470481267,1.802291803974664,0.5338161589519248,29.431589849059158,0.5765811281705658,-16.56947420828192,25.546682588364366,245
BMO,33.84589944871601,34.15841264765127,18.842584101683904,1.600545471093644,0.5836204999924309,24.477497265640743,0.6074461242665337,-15.940083448142833,20.228083336913592,250
XEQT.TO,14.356517135267044,14.795672777344016,15.497368094878958,0.6966133030621762,0.7326308875635688,6.079418794169275,0.9312022494042436,-15.079873830987841,4.223234216360661,245
FAP.TO,11.795453184059589,12.152171710856873,11.436592009530013,0.7128147706995003,0.20752834449552998,6.816224239950143,0.3574353764935962,-7.407416721911002,1.6621702651532066,245
XEG.TO,11.10763109136348,11.442502644793407,25.87101700834437,0.28767723520080096,0.7653391378552002,2.515691860998928,0.5827162936463579,-24.27170331653167,0.9743481724570957,245
SOLQ.TO,10.021575756190826,17.92120922063807,70.37208883875198,0.19782287907548993,2.0551274879080212,-65.70983317032835,0.3699131849540537,-46.44567157957059,-12.878341108105795,146
ETHQ.TO,8.528979140513382,8.783069710358781,75.63634634415376,0.06323771495512599,1.7404044019671339,-6.420647376166788,0.4532484960372161,-60.480150486241726,-1.6043037783930014,245
IGBT-UN.TO,5.76763612336999,5.93722495739375,37.295301048504456,0.0519428695554512,0.061937274451719176,1.5385086019977159,0.032712573666838586,-24.5051818223151,-4.365646795536393,245
AW.TO,3.8887363425861077,4.002037687056492,23.55773279537806,8.649758761555838e-05,0.3171635185858803,-2.0396776340417935,0.26519569895256295,-21.474970320597944,-6.244546576320276,245
BTCQ.TO,3.2932699439254476,3.388940290104725,42.935779859856986,-0.01423194622037338,0.9064288203449383,-6.446124279221488,0.41584462327097654,-28.56551018766906,-6.840012974980936,245
XRPQ.TO,-1.093231200798228,-2.6284093067000636,74.9524923958602,-0.08843480843428451,2.583642484335271,-51.024458138630976,0.35951934490406484,-40.94808059155183,-9.34550134656953,104
HDGE.TO,-1.7607530366133384,-1.817954737115124,14.450595737425736,-0.4026100267995974,0.14479985684548596,-6.693021699970969,0.19775344675228965,-12.397151216590641,-11.470211913485183,244
T.TO,-5.5359607216638125,-5.689544813571546,18.67707541256421,-0.5187934727218221,-0.057745687824451934,-9.317811468941564,-0.06090142111022756,-15.885731270136164,-15.669243640570196,245
BCE.TO,-8.008418523698458,-8.227552086398271,23.786326685760166,-0.5140580236677894,-0.13584731497304256,-11.35304563134574,-0.11249686506604634,-18.850858398956024,-18.14170144260484,245
ADN.TO,-12.125775164095131,-12.449717843313191,13.27608755724733,-1.2390486106980665,0.26804118463406895,-18.175211985239628,0.3976931963004279,-21.777574340674747,-22.259058083001516,245
HUC.TO,-12.208643515872087,-12.534638500772498,22.519565475243756,-0.7342343491906798,0.36863856077106866,-18.907720376108394,0.3224463728275363,-20.22627509787404,-22.34192643477847,245
AAB.TO,-37.49999767169351,-38.33367968146085,194.63873777476678,-0.21749873722695834,0.3282507763941043,-44.446768356710805,0.033219510056500846,-58.333331781129004,-47.63328059059989,245
