symbol,total_return,annualized_return,volatility,sharpe_ratio,beta,alpha,correlation,max_drawdown_pct,vs_benchmark,days_analyzed
VNP.TO,211.5177190400636,223.342295133435,50.052170076691496,4.3822734318482475,0.9453880421659483,213.25050841183065,0.3728171364782184,-43.707860184052734,201.4217666701427,244
TD.TO,53.669121361799085,55.8490652488078,16.912308023437376,3.0657592788018313,0.32863744912181847,49.731427665625006,0.38355075711830966,-9.137762445531056,43.573168991878134,244
BMO.TO,35.60777305346632,36.96884183881322,18.274082650406342,1.8041311550093115,0.5338134345442208,29.529113973290176,0.5765840016764935,-16.56948301790445,25.51182068354536,244
BMO,33.91705991612399,34.38910123344887,18.879685703600924,1.6096190217643696,0.5836096303448318,24.696738187170023,0.6074619983687949,-15.94007714929903,20.33772047077116,249
XEQT.TO,14.322417769988505,14.825236398866505,15.529198461648127,0.6970891914094072,0.7326300505175786,6.104396051271046,0.9312029889815586,-15.079873830987811,4.226465400067547,244
FAP.TO,12.197627884589712,12.62180513333664,11.452596702135516,0.7528253511039088,0.2075139817162832,7.284649529516766,0.35764492711775175,-7.407424483995885,2.101675514668755,244
SOLQ.TO,10.021575756190826,17.92120922063807,70.37208883875198,0.19782287907548993,2.0551266565785076,-65.70980777904239,0.36991308423715497,-46.44567157957059,-12.878342763580687,146
XEG.TO,10.006933615294233,10.35146264197273,25.906296454725013,0.24517061530091058,0.76537297534353,1.4196370631443522,0.5831448786150072,-24.27170021087756,-0.08901875462672404,244
ACQ.TO,9.977266507494932,10.320727017691734,46.858508592010956,0.13488963280340877,0.9942243082081454,-0.08574542420898279,0.41879798999866585,-46.0928621742954,-0.11868586242602674,244
ETHQ.TO,8.656813611770753,8.952991897924868,75.79133596618962,0.06535037065627643,1.7403948736328987,-6.261571761305423,0.4532490539223542,-60.480150486241754,-1.4391387581502046,244
IGBT-UN.TO,6.6785540184577386,6.904917255492959,37.36058956982158,0.0777535175151368,0.061907298679538446,2.5060058632963926,0.032706705936949326,-24.505181822315084,-3.417398351463219,244
AW.TO,3.9450095344920166,4.076956208808591,23.606020017656125,0.0032600247204328135,0.3171613192347174,-1.9667327601083793,0.26519548009463373,-21.474961527832733,-6.150942835428941,244
BTCQ.TO,1.2254347578587232,1.2658661983250052,42.975939709494156,-0.06362010511362887,0.9064995027012415,-8.575334861342093,0.4163426112388288,-28.565510187669023,-8.870517612062233,244
HDGE.TO,-0.8520914390664491,-0.8835105629239837,14.450275507751446,-0.3379527650046784,0.14477118672792635,-5.759077694010632,0.19812684243899495,-12.397132740953953,-10.524363425470485,243
XRPQ.TO,-1.093231200798228,-2.6284093067000636,74.9524923958602,-0.08843480843428451,2.583642484335271,-51.024458138630976,0.35951934490406484,-40.94808059155183,-9.34550134656953,104
APR-UN.TO,-5.209746168572737,-5.375882991218772,18.506671429120036,-0.5066217891817071,0.359407146478934,-11.691790941095027,0.3833249318802773,-20.893070567339045,-15.305698538493695,244
T.TO,-5.623132442116963,-5.802044112149629,18.715141510258785,-0.5237493986768199,-0.05774242627346719,-9.429969863315224,-0.060899059620476544,-15.885731270136116,-15.71908481203792,244
BCE.TO,-7.033411826379998,-7.255443168538356,23.81221069253489,-0.47267527210595905,-0.13588280901689354,-10.379856578965112,-0.11263502839267057,-18.85083613398317,-17.129364196300955,244
HUC.TO,-11.878756173516003,-12.243360735519815,22.56332208728197,-0.7199011153005497,0.36862739551420853,-18.618681104569774,0.32247291107969356,-20.22627509787399,-21.97470854343696,244
ADN.TO,-12.373734384744829,-12.752405641239207,13.299056146697543,-1.2596687656965195,0.2680526887949278,-18.47965385833125,0.39783961104239013,-21.777574340674782,-22.469686754665787,244
AAB.TO,-37.49999767169351,-38.455736960209876,195.03805796114605,-0.21767924375389122,0.3282346989501616,-44.57077934645935,0.03321802437251263,-58.333331781129004,-47.595950041614465,244
