symbol,total_return,annualized_return,volatility,sharpe_ratio,beta,alpha,correlation,max_drawdown_pct,vs_benchmark,days_analyzed
VNP.TO,509.4441110653675,44.990786941776406,52.522288193073365,0.7804455661012552,1.120496300019281,30.629814172111068,0.3657894400899006,-79.10894630396905,426.2801860245877,1226
XEG.TO,244.9607042395052,28.984243377923047,29.80061408849527,0.8383801522925121,0.654438327320011,18.932801986575935,0.3765371991322951,-31.788196121349788,161.79677919872532,1226
BMO.TO,108.207649209863,16.2695189545661,18.008650776194894,0.6813125040319408,0.580193898050512,6.904598803804421,0.5524034165561043,-30.32705590792446,25.043724169083138,1226
BMO,106.44384445940887,15.694342318966669,21.028024080904974,0.556131297642274,0.7730834815239919,3.3260541160053614,0.6289214578980598,-34.28949089799773,7.602675101102707,1253
TD.TO,91.53279711070171,14.291541369745042,16.891950521525438,0.6092571344339729,0.4382961908070912,6.238716833044499,0.4448896177987089,-28.028868096829452,8.368872069921828,1226
HUC.TO,89.80214570432987,14.078504357772914,27.947066491575058,0.3606283457625575,0.3082219527285082,7.228446522527765,0.18910008092070543,-32.502383417218525,6.6382206635499985,1226
HDGE.TO,71.30859318986613,11.709912225507303,17.07621338303007,0.4515001102744023,0.0882316725728366,6.900962429731678,0.08862535254350454,-14.828971380092451,-11.150465229232687,1225
XEQT.TO,58.66796107650529,9.953703068086028,12.887722669974021,0.461967037974602,0.6842719407630437,-0.3736029169225358,0.9103678772793118,-22.74900128651649,-24.49596396427458,1226
BTCQ.TO,41.78483977898924,8.112209169683847,55.79908895717502,0.07369670807421082,1.0921992507768878,-3.2449695840254256,0.3408886131827645,-77.22822474687646,-16.06612850256779,1128
ADN.TO,33.44941721051684,6.1105106018156885,18.534572440434033,0.11386885824306965,0.2847938804177261,-0.5229132121894187,0.2634586464704019,-25.418616864219718,-49.71450783026303,1226
APR-UN.TO,15.205270573322771,2.952151172876971,19.621987559662006,-0.0534017679879254,0.3752559893381326,-4.517755052711917,0.3279057345740056,-32.318564244956036,-67.95865446745711,1226
IGBT-UN.TO,14.183976257355901,7.4034333000708274,28.25070991896188,0.12047248758823022,0.06327239366124453,2.385096990891257,0.03700735290684597,-24.505181822315098,-26.319044215515277,468
FAP.TO,11.416610555815021,2.246958011805167,13.308356321345194,-0.13172490620672214,0.14513110937760385,-3.0950361315639814,0.18698228815558351,-28.493701908965445,-71.74731448496485,1226
SOLQ.TO,10.021575756190826,17.92120922063807,70.37208883875198,0.19782287907548993,2.0551266565785076,-65.70980777904239,0.36991308423715497,-46.44567157957059,-12.878342763580687,146
T.TO,-0.9742948442007848,-0.20104248518773016,15.984930184996143,-0.26281268898696436,0.20485959336322815,-6.095332246255747,0.21974041371118708,-36.8871798509333,-84.13821988498066,1226
XRPQ.TO,-1.093231200798228,-2.6284093067000636,74.9524923958602,-0.08843480843428451,2.583642484335271,-51.024458138630976,0.35951934490406484,-40.94808059155183,-9.34550134656953,104
AW.TO,-4.772907522633208,-4.510910261594181,24.62105890097492,-0.34567604487787384,0.30471166612782713,-10.505920236419334,0.23841339029941697,-27.40755025864648,-15.981898102280178,267
ETHQ.TO,-5.882545966785601,-1.3500496557334873,72.86309025574602,-0.07342606025842528,1.5774167886881694,-15.895073862364631,0.37722586166543925,-82.08277045070449,-63.15397392407181,1124
BCE.TO,-23.10117023361836,-5.256112455309491,16.817040091670655,-0.5504008080407663,0.12833168080806068,-10.442766128610172,0.1308424592167077,-51.760442575210455,-106.26509527439825,1226
ACQ.TO,-36.17129971486938,-8.815352633926087,54.378965334529326,-0.235667459928456,0.9897011668524646,-21.966892750290548,0.3120595785186862,-79.29104253348672,-119.33522475564926,1226
AAB.TO,-48.618766113857006,-12.791887814984959,172.78875207932276,-0.09718160246493503,0.34479773935985336,-19.980153575869785,0.03421474574173053,-96.60113827595808,-131.78269115463686,1226
